CandidateID,CandidateType,ReplacementFeature,CandidateSetID,InputFeatureSetID,StandaloneMeanSpearman,OuterValidationMonths,FeatureColumn,AuditRank,EligibleForRLScreen,RLScreenOrder,RLScreenReason
max_drawdown_1m,replacement,max_drawdown,max_drawdown_1m,canonical_11,0.8759740755315166,26,max_drawdown,1,False,,below_cut
beta_to_egx30_1m,replacement,beta_to_egx30,beta_to_egx30_1m,canonical_11,0.574052412685963,26,beta_to_egx30,2,False,,below_cut
downside_beta_to_egx30,replacement,beta_to_egx30,downside_beta_to_egx30,canonical_11,0.43862367507164274,26,beta_to_egx30,3,False,,below_cut
distance_to_1m_low,additive,,shadow_add_distance_to_1m_low,shadow_add_distance_to_1m_low,0.31588566270123675,26,distance_to_1m_low,4,False,,below_cut
illiquidity_1m,additive,,shadow_add_illiquidity_1m,shadow_add_illiquidity_1m,0.1826669485450519,26,illiquidity_1m,5,False,,below_cut
realized_skew_3m,additive,,shadow_add_realized_skew_3m,shadow_add_realized_skew_3m,0.16892797739965282,26,realized_skew_3m,6,False,,below_cut
calmar_3m,additive,,shadow_add_calmar_3m,shadow_add_calmar_3m,0.12045539015569136,26,calmar_3m,7,True,3,approved_shortlist
sortino_3m,additive,,shadow_add_sortino_3m,shadow_add_sortino_3m,0.11594043705436322,26,sortino_3m,8,True,1,approved_shortlist
volume_spike_1m_vs_3m,additive,,shadow_add_volume_spike_1m_vs_3m,shadow_add_volume_spike_1m_vs_3m,0.06510176791154099,26,volume_spike_1m_vs_3m,9,False,,below_cut
cpi_acceleration_3m,additive,,shadow_add_cpi_acceleration_3m,shadow_add_cpi_acceleration_3m,0.0,26,cpi_acceleration_3m,10,False,,below_cut
usd_return_1m,additive,,shadow_add_usd_return_1m,shadow_add_usd_return_1m,0.0,26,usd_return_1m,11,False,,below_cut
usd_vol_1m,replacement,usd_vol,usd_vol_1m,canonical_11,0.0,26,usd_vol,12,False,,below_cut
range_position_3m,additive,,shadow_add_range_position_3m,shadow_add_range_position_3m,-0.07552742676719974,26,range_position_3m,13,False,,below_cut
drawdown_duration_3m,additive,,shadow_add_drawdown_duration_3m,shadow_add_drawdown_duration_3m,-0.09153281432121399,26,drawdown_duration_3m,14,True,6,approved_shortlist
drawdown_recovery_3m,additive,,shadow_add_drawdown_recovery_3m,shadow_add_drawdown_recovery_3m,-0.10340454000565773,26,drawdown_recovery_3m,15,False,,below_cut
sortino_1m,additive,,shadow_add_sortino_1m,shadow_add_sortino_1m,-0.10894818689529537,26,sortino_1m,16,True,2,approved_shortlist
realized_kurtosis_3m,additive,,shadow_add_realized_kurtosis_3m,shadow_add_realized_kurtosis_3m,-0.10906082399496787,26,realized_kurtosis_3m,17,False,,below_cut
calmar_1m,additive,,shadow_add_calmar_1m,shadow_add_calmar_1m,-0.1175931239845775,26,calmar_1m,18,True,4,approved_shortlist
price_to_sma14,replacement,price_to_sma20,price_to_sma14,canonical_11,-0.12736083712273472,26,price_to_sma20,19,False,,below_cut
distance_to_1m_high,replacement,distance_to_3m_high,distance_to_1m_high,canonical_11,-0.6642172228107392,26,distance_to_3m_high,20,False,,below_cut
expected_shortfall_95_3m,additive,,shadow_add_expected_shortfall_95_3m,shadow_add_expected_shortfall_95_3m,-0.6848921675651757,26,expected_shortfall_95_3m,21,True,5,approved_shortlist
