"Date","Price","Open","High","Low","Change %"
"01/30/2026","24.774","24.778","25.426","24.774","0.00%"
"01/29/2026","24.774","24.778","24.778","24.774","-0.01%"
"01/28/2026","24.777","24.809","24.809","24.777","-0.13%"
"01/27/2026","24.809","24.912","24.912","24.809","-0.06%"
"01/26/2026","24.823","25.109","25.109","24.823","-1.14%"
"01/23/2026","25.109","25.093","26.680","25.093","0.00%"
"01/22/2026","25.110","25.093","25.110","25.093","0.06%"
"01/21/2026","25.094","25.036","25.094","25.036","0.22%"
"01/20/2026","25.039","25.125","25.125","25.039","-0.35%"
"01/19/2026","25.127","25.139","25.139","25.127","-0.03%"
"01/16/2026","25.135","25.162","26.187","25.135","-0.02%"
"01/15/2026","25.140","25.162","25.162","25.140","-0.08%"
"01/14/2026","25.160","25.112","25.160","25.112","0.19%"
"01/13/2026","25.112","25.080","25.112","25.080","0.13%"
"01/12/2026","25.080","25.242","25.242","25.080","-0.63%"
"01/09/2026","25.240","25.160","26.198","25.160","0.00%"
"01/08/2026","25.240","25.160","25.240","25.160","0.32%"
"01/07/2026","25.160","25.160","25.160","25.160","0.01%"
"01/06/2026","25.158","25.061","25.158","25.061","0.40%"
"01/05/2026","25.059","25.382","25.382","25.059","-1.27%"
"01/02/2026","25.382","25.396","26.558","25.378","0.00%"
"01/01/2026","25.382","25.378","25.382","25.378","0.02%"
"12/31/2025","25.378","25.396","25.396","25.378","-0.08%"
"12/30/2025","25.398","25.262","25.398","25.262","0.54%"
"12/29/2025","25.261","25.607","25.607","25.261","-1.35%"
"12/25/2025","25.607","25.655","25.655","25.607","-0.19%"
"12/24/2025","25.656","25.579","25.656","25.579","0.29%"
"12/23/2025","25.581","25.479","25.581","25.479","0.38%"
"12/22/2025","25.483","26.070","26.070","25.483","-2.26%"
"12/19/2025","26.073","26.157","26.854","26.072","0.00%"
"12/18/2025","26.072","26.157","26.157","26.072","-0.32%"
"12/17/2025","26.157","26.137","26.157","26.137","0.08%"
"12/16/2025","26.137","26.209","26.209","26.137","-0.29%"
"12/15/2025","26.213","26.361","26.361","26.213","-0.55%"
"12/12/2025","26.359","26.428","27.097","26.358","0.00%"
"12/11/2025","26.358","26.428","26.428","26.358","-0.26%"
"12/10/2025","26.427","26.389","26.427","26.389","0.14%"
"12/09/2025","26.389","26.401","26.401","26.389","-0.05%"
"12/08/2025","26.401","26.417","26.417","26.401","-0.06%"
"12/05/2025","26.417","26.443","27.113","26.417","0.00%"
"12/04/2025","26.418","26.443","26.443","26.418","-0.09%"
"12/03/2025","26.441","26.059","26.441","26.059","0.07%"
"12/02/2025","26.423","26.423","26.423","26.423","0.00%"
"12/01/2025","26.424","26.376","26.424","26.376","0.17%"
"11/28/2025","26.378","26.383","27.741","26.376","0.01%"
"11/27/2025","26.376","26.383","26.383","26.376","-0.02%"
"11/26/2025","26.381","26.381","26.381","26.381","0.00%"
"11/25/2025","26.380","26.374","26.380","26.374","0.02%"
"11/24/2025","26.374","26.430","26.430","26.374","-0.21%"
"11/21/2025","26.429","26.437","27.645","26.425","0.02%"
"11/20/2025","26.425","26.437","26.437","26.425","-0.05%"
