"Date","Price","Open","High","Low","Vol.","Change %"
"04/25/2024","47.9000","47.9000","47.9000","47.9000","","0.00%"
"04/24/2024","47.9000","48.0500","48.1500","47.8000","","-0.31%"
"04/23/2024","48.0500","48.1500","48.2500","47.9800","","-0.25%"
"04/22/2024","48.1700","48.3700","48.4700","48.0300","","-0.33%"
"04/20/2024","48.3300","48.3300","48.3300","48.3300","","0.00%"
"04/19/2024","48.3300","48.3300","48.3300","48.3300","","0.00%"
"04/18/2024","48.3300","48.5000","48.6200","48.2300","","-0.35%"
"04/17/2024","48.5000","48.5500","48.8800","48.4500","","0.00%"
"04/16/2024","48.5000","48.2900","48.7550","48.2450","","0.52%"
"04/15/2024","48.2500","47.5800","48.7500","47.4800","","1.41%"
"04/13/2024","47.5800","47.5800","47.5800","47.5800","","0.00%"
"04/12/2024","47.5800","47.5500","47.5800","47.5500","","0.06%"
"04/11/2024","47.5500","47.5500","47.5500","47.5500","","0.00%"
"04/10/2024","47.5500","47.5500","47.5500","47.5500","","0.00%"
"04/09/2024","47.5500","47.5500","47.5500","47.5500","","0.00%"
"04/08/2024","47.5500","47.5500","47.8000","47.4500","","0.36%"
"04/06/2024","47.3800","47.3800","47.3800","47.3800","","0.00%"
"04/05/2024","47.3800","47.3800","47.3800","47.3800","","0.06%"
"04/04/2024","47.3500","47.4000","47.5100","47.2700","","0.00%"
"04/03/2024","47.3500","47.2000","47.7000","47.1000","","0.40%"
"04/02/2024","47.1600","47.3000","47.3000","47.0600","","0.02%"
"04/01/2024","47.1500","47.2300","47.3500","47.0900","","-0.53%"
"03/30/2024","47.4000","47.4000","47.4000","47.4000","","0.00%"
"03/29/2024","47.4000","47.4000","47.4000","47.4000","","0.00%"
"03/28/2024","47.4000","47.3800","47.5000","47.0500","","0.32%"
"03/27/2024","47.2500","47.8800","47.9000","47.1800","","-1.19%"
"03/26/2024","47.8200","47.5000","47.9500","47.3500","","0.89%"
"03/25/2024","47.4000","46.6900","47.5500","46.4900","","1.39%"
"03/23/2024","46.7500","46.7500","46.7500","46.7500","","0.00%"
"03/22/2024","46.7500","46.7500","46.7500","46.7500","","0.21%"
"03/21/2024","46.6500","46.9000","47.0900","46.5700","","-0.53%"
"03/20/2024","46.9000","47.0500","47.2000","46.8500","","-0.32%"
"03/19/2024","47.0500","47.1500","47.2900","46.9500","","-0.13%"
"03/18/2024","47.1100","47.2500","47.4200","47.0500","","-1.44%"
"03/16/2024","47.8000","47.8000","47.8500","47.8000","","0.00%"
"03/15/2024","47.8000","47.8000","47.8000","47.8000","","0.00%"
