"Date","Price","Open","High","Low","Change %"
"01/30/2026","20.330","20.360","20.360","20.330","0.00%"
"01/29/2026","20.330","20.360","20.360","20.330","-0.15%"
"01/28/2026","20.360","20.340","20.360","20.340","0.10%"
"01/27/2026","20.340","20.410","20.410","20.340","-1.21%"
"01/26/2026","20.590","20.620","20.620","20.590","-0.15%"
"01/23/2026","20.620","20.600","20.620","20.600","0.00%"
"01/22/2026","20.620","20.600","20.620","20.600","0.10%"
"01/21/2026","20.600","20.610","20.610","20.600","-0.05%"
"01/20/2026","20.610","20.650","20.650","20.610","-0.19%"
"01/19/2026","20.650","20.590","20.650","20.590","0.29%"
"01/16/2026","20.590","20.590","20.590","20.590","0.00%"
"01/15/2026","20.590","20.590","20.590","20.590","0.00%"
"01/14/2026","20.590","20.570","20.590","20.570","0.10%"
"01/13/2026","20.570","20.600","20.600","20.570","-0.15%"
"01/12/2026","20.600","20.580","20.600","20.580","0.10%"
"01/09/2026","20.580","20.570","20.580","20.570","0.00%"
"01/08/2026","20.580","20.570","20.580","20.570","0.05%"
"01/07/2026","20.570","20.600","20.600","20.570","-0.15%"
"01/06/2026","20.600","20.600","20.600","20.600","0.00%"
"01/05/2026","20.600","20.580","20.600","20.580","0.10%"
"01/02/2026","20.580","20.600","20.600","20.580","0.00%"
"01/01/2026","20.580","20.600","20.600","20.580","-0.10%"
"12/31/2025","20.600","20.600","20.600","20.600","0.00%"
"12/30/2025","20.600","20.610","20.610","20.600","-0.05%"
"12/29/2025","20.610","20.670","20.670","20.610","-0.29%"
"12/25/2025","20.670","20.660","20.670","20.660","0.05%"
"12/24/2025","20.660","20.640","20.660","20.640","0.10%"
"12/23/2025","20.640","20.750","20.750","20.640","-0.53%"
"12/22/2025","20.750","20.790","20.790","20.750","-0.19%"
"12/19/2025","20.790","20.810","20.810","20.790","0.00%"
"12/18/2025","20.790","20.810","20.810","20.790","-0.10%"
"12/17/2025","20.810","20.820","20.820","20.810","-0.05%"
"12/16/2025","20.820","20.850","20.850","20.820","-0.14%"
"12/15/2025","20.850","20.840","20.850","20.840","0.05%"
"12/12/2025","20.840","20.860","20.860","20.840","0.00%"
"12/11/2025","20.840","20.860","20.860","20.840","-0.10%"
"12/10/2025","20.860","20.850","20.860","20.850","0.05%"
"12/09/2025","20.850","20.820","20.850","20.820","0.14%"
"12/08/2025","20.820","20.860","20.860","20.820","-0.19%"
"12/05/2025","20.860","20.860","20.860","20.860","0.00%"
"12/04/2025","20.860","20.860","20.860","20.860","0.00%"
"12/03/2025","20.860","20.870","20.870","20.860","-0.05%"
"12/02/2025","20.870","20.890","20.890","20.870","-0.10%"
"12/01/2025","20.890","20.740","20.890","20.740","0.72%"
"11/28/2025","20.740","20.720","20.740","20.720","0.00%"
"11/27/2025","20.740","20.720","20.740","20.720","0.10%"
"11/26/2025","20.720","20.720","20.720","20.720","0.00%"
"11/25/2025","20.720","20.660","20.720","20.660","0.29%"
"11/24/2025","20.660","20.640","20.660","20.640","0.10%"
"11/21/2025","20.640","20.690","20.690","20.640","0.00%"
"11/20/2025","20.640","20.690","20.690","20.640","-0.24%"
"11/19/2025","20.690","20.730","20.730","20.690","-0.19%"
"11/18/2025","20.730","20.870","20.870","20.730","-0.67%"
"11/17/2025","20.870","20.920","20.920","20.870","-0.24%"
"11/14/2025","20.920","20.890","20.920","20.890","0.00%"
"11/13/2025","20.920","20.890","20.920","20.890","0.14%"
"11/12/2025","20.890","20.860","20.890","20.860","0.14%"
"11/11/2025","20.860","20.860","20.860","20.860","0.00%"
"11/10/2025","20.860","20.980","20.980","20.860","-0.57%"
"11/07/2025","20.980","20.990","20.990","20.980","0.00%"
"11/06/2025","20.980","20.990","20.990","20.980","-0.05%"
"11/05/2025","20.990","21.020","21.020","20.990","-0.14%"
"11/04/2025","21.020","21.100","21.100","21.020","-0.38%"
"11/03/2025","21.100","21.140","21.140","21.100","-0.19%"
"10/31/2025","21.140","21.140","21.140","21.140","0.00%"
"10/30/2025","21.140","21.140","21.140","21.140","0.00%"
"10/29/2025","21.140","21.140","21.140","21.140","0.00%"
"10/28/2025","21.140","21.000","21.140","21.000","0.67%"
"10/27/2025","21.000","21.070","21.070","21.000","-0.33%"
"10/24/2025","21.070","21.070","21.070","21.070","0.00%"
"10/23/2025","21.070","21.070","21.070","21.070","0.00%"
"10/22/2025","21.070","21.020","21.070","21.020","0.24%"
"10/21/2025","21.020","21.000","21.020","21.000","0.10%"
"10/20/2025","21.000","21.130","21.130","21.000","-0.62%"
"10/17/2025","21.130","21.080","21.130","21.080","0.00%"
"10/16/2025","21.130","21.080","21.130","21.080","0.24%"
"10/15/2025","21.080","21.130","21.130","21.080","-0.24%"
"10/14/2025","21.130","21.130","21.130","21.130","0.00%"
"10/13/2025","21.130","21.130","21.130","21.130","0.76%"
"10/10/2025","20.970","21.040","21.040","20.970","0.00%"
"10/09/2025","20.970","21.040","21.040","20.970","-0.33%"
"10/08/2025","21.040","21.440","21.440","21.040","-1.87%"
"10/07/2025","21.440","22.430","22.430","21.440","-4.41%"
"10/06/2025","22.430","22.340","22.430","22.340","0.40%"
"10/03/2025","22.340","22.340","22.340","22.340","0.00%"
"10/02/2025","22.340","22.340","22.340","22.340","0.00%"
"10/01/2025","22.340","22.340","22.340","22.340","0.00%"
"09/30/2025","22.340","22.210","22.340","22.210","0.59%"
"09/29/2025","22.210","22.250","22.250","22.210","-0.18%"
"09/26/2025","22.250","22.240","22.250","22.240","0.00%"
"09/25/2025","22.250","22.240","22.250","22.240","0.04%"
"09/24/2025","22.240","22.300","22.300","22.240","-0.27%"
"09/23/2025","22.300","22.350","22.350","22.300","-0.22%"
"09/22/2025","22.350","22.320","22.350","22.320","0.13%"
"09/19/2025","22.320","22.320","22.320","22.320","0.00%"
"09/18/2025","22.320","22.320","22.320","22.320","0.00%"
"09/17/2025","22.320","22.320","22.320","22.320","0.00%"
"09/16/2025","22.320","22.280","22.320","22.280","0.18%"
"09/15/2025","22.280","22.370","22.370","22.280","-0.40%"
"09/12/2025","22.370","22.270","22.370","22.270","0.00%"
"09/11/2025","22.370","22.270","22.370","22.270","0.45%"
"09/10/2025","22.270","22.350","22.350","22.270","-0.36%"
"09/09/2025","22.350","22.630","22.630","22.350","-1.24%"
"09/08/2025","22.630","22.750","22.750","22.630","-0.53%"
"09/05/2025","22.750","22.740","22.750","22.740","0.00%"
"09/04/2025","22.750","22.750","22.750","22.750","0.00%"
