,,,,
Date,Headline (m/m),Core (m/m),Regulated Items (m/m),Fruits and Vegetables (m/m)
Jan 2026,1.200%,1.200%,0.400%,3.700%
Dec 2025,0.200%,0.200%,0.600%,-1.600%
Nov 2025,0.300%,0.800%,2.300%,-11.700%
Oct 2025,1.800%,2.000%,0.200%,5.000%
Sep 2025,1.800%,1.500%,0.300%,11.000%
Aug 2025,0.400%,0.100%,0.200%,4.800%
Jul 2025,-0.500%,-0.300%,2.100%,-11.500%
Jun 2025,-0.100%,-0.200%,0.600%,-1.800%
May 2025,1.900%,1.600%,1.100%,7.000%
Apr 2025,1.300%,1.200%,4.000%,-5.500%
Mar 2025,1.650%,0.870%,0.020%,17.900%
Feb 2025,1.390%,1.630%,2.600%,-5.680%
Jan 2025,1.510%,1.690%,1.140%,0.660%
Dec 2024,0.210%,0.910%,0.780%,-9.060%
Nov 2024,0.520%,0.420%,3.800%,-7.580%
Oct 2024,1.104%,1.303%,1.330%,-1.420%
Sep 2024,2.081%,0.962%,2.789%,11.897%
Aug 2024,2.052%,0.938%,2.948%,12.344%
Jul 2024,0.395%,-0.490%,0.253%,12.778%
Jun 2024,1.579%,1.304%,3.255%,-0.634%
May 2024,-0.685%,-0.789%,0.090%,-1.980%
Apr 2024,1.059%,0.309%,3.710%,2.090%
Mar 2024,0.954%,1.428%,0.390%,-3.200%
Feb 2024,11.374%,13.242%,6.140%,6.210%
Jan 2024,1.600%,2.222%,2.200%,-6.890%
Dec 2023,1.413%,1.313%,0.390%,5.720%
Nov 2023,1.312%,0.981%,4.640%,-4.600%
Oct 2023,1.000%,1.800%,0.120%,-4.280%
Sep 2023,2.000%,1.100%,0.470%,16.720%
Aug 2023,1.586%,0.338%,1.450%,19.230%
Jul 2023,1.864%,1.319%,2.540%,7.190%
Jun 2023,2.083%,1.695%,4.060%,0.260%
May 2023,2.723%,2.858%,2.810%,0.510%
Apr 2023,1.670%,1.716%,1.529%,1.533%
Mar 2023,2.743%,2.540%,1.283%,11.686%
Feb 2023,6.531%,8.117%,0.338%,9.242%
Jan 2023,4.65%,6.32%,0.321%,-0.584%
Dec 2022,2.059%,2.582%,0.268%,2.483%
Nov 2022,2.285%,2.651%,0.703%,4.194%
Oct 2022,2.581%,2.964%,0.870%,5.069%
Sep 2022,1.547%,1.554%,0.888%,4.707%
Aug 2022,0.881%,0.591%,0.676%,6.664%
Jul 2022,1.305%,1.510%,2.140%,-5.826%
Jun 2022,-0.146%,1.196%,0.247%,-18.084%
May 2022,1.058%,1.589%,2.61%,-10.063%
