"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","4,310.05","4,289.65","4,310.05","4,266.73","","0.48%"
"01/28/2026","4,289.65","4,335.84","4,356.06","4,287.70","","-1.07%"
"01/27/2026","4,335.84","4,344.58","4,354.63","4,322.50","","-0.20%"
"01/26/2026","4,344.58","4,340.43","4,384.74","4,331.36","","0.10%"
"01/25/2026","4,340.43","4,297.19","4,370.93","4,270.73","","1.01%"
"01/22/2026","4,297.19","4,301.29","4,370.52","4,291.84","","-0.10%"
"01/21/2026","4,301.29","4,301.08","4,312.19","4,248.19","","0.00%"
"01/20/2026","4,301.08","4,239.89","4,345.45","4,239.89","","1.44%"
"01/19/2026","4,239.89","4,061.65","4,248.85","4,061.65","","4.39%"
"01/18/2026","4,061.65","4,035.36","4,086.70","4,035.36","","0.65%"
"01/17/2026","4,035.36","4,062.25","4,035.36","4,035.36","","0.00%"
"01/15/2026","4,035.36","4,062.25","4,086.92","4,007.91","","-0.66%"
"01/14/2026","4,062.25","4,133.92","4,134.40","4,019.15","","-1.73%"
"01/13/2026","4,133.92","4,168.44","4,187.14","4,117.75","","-0.83%"
"01/12/2026","4,168.44","4,197.33","4,242.32","4,168.44","","-0.69%"
"01/11/2026","4,197.33","4,135.34","4,210.58","4,135.34","","1.50%"
"01/08/2026","4,135.34","4,158.77","4,191.29","4,135.34","","-0.56%"
"01/06/2026","4,158.77","4,117.64","4,172.25","4,117.64","","1.00%"
"01/05/2026","4,117.64","4,159.84","4,180.70","4,089.07","","-1.01%"
"01/04/2026","4,159.84","4,266.89","4,277.59","4,159.48","","-2.51%"
"12/31/2025","4,266.89","4,246.44","4,289.51","4,246.44","","0.48%"
"12/30/2025","4,246.44","4,206.99","4,256.99","4,197.63","","0.94%"
"12/29/2025","4,206.99","4,181.54","4,216.60","4,179.14","","0.61%"
"12/28/2025","4,181.54","4,142.84","4,194.14","4,142.84","","0.93%"
"12/25/2025","4,142.84","4,131.55","4,146.07","4,126.39","","0.27%"
"12/24/2025","4,131.55","4,115.90","4,147.74","4,115.90","","0.38%"
"12/23/2025","4,115.90","4,132.89","4,139.37","4,077.02","","-0.41%"
"12/22/2025","4,132.89","4,110.78","4,136.81","4,110.78","","0.54%"
"12/21/2025","4,110.78","4,101.86","4,122.14","4,100.47","","0.22%"
"12/18/2025","4,101.86","4,139.65","4,164.18","4,101.86","","-0.91%"
