"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2026","0.709","0.709","0.711","0.707","204.44K","0.00%"
"03/17/2026","0.709","0.708","0.710","0.706","255.88K","0.42%"
"03/16/2026","0.706","0.709","0.709","0.705","75.48K","-0.28%"
"03/15/2026","0.708","0.710","0.710","0.708","86.67K","-0.14%"
"03/12/2026","0.709","0.710","0.710","0.709","117.04K","-0.14%"
"03/11/2026","0.710","0.710","0.710","0.709","167.27K","0.00%"
"03/10/2026","0.710","0.706","0.710","0.704","327.86K","0.71%"
"03/09/2026","0.705","0.705","0.707","0.704","303.58K","0.00%"
"03/08/2026","0.705","0.700","0.709","0.700","276.74K","0.71%"
"03/05/2026","0.700","0.699","0.700","0.696","181.44K","0.14%"
"03/04/2026","0.699","0.697","0.700","0.695","115.61K","0.58%"
"03/03/2026","0.695","0.685","0.696","0.684","1.14M","1.31%"
"03/02/2026","0.686","0.690","0.694","0.685","156.70K","0.00%"
"03/01/2026","0.686","0.681","0.687","0.671","265.11K","-2.14%"
"02/26/2026","0.701","0.705","0.705","0.701","86.19K","-0.99%"
"02/25/2026","0.708","0.706","0.709","0.701","95.86K","0.14%"
"02/24/2026","0.707","0.705","0.708","0.705","21.44K","0.43%"
"02/23/2026","0.704","0.702","0.708","0.702","63.49K","0.28%"
"02/22/2026","0.702","0.706","0.706","0.702","109.39K","-0.57%"
"02/19/2026","0.706","0.709","0.709","0.705","111.73K","-0.56%"
"02/18/2026","0.710","0.710","0.710","0.709","206.23K","0.14%"
"02/17/2026","0.709","0.710","0.710","0.708","223.95K","0.00%"
"02/16/2026","0.709","0.710","0.710","0.708","138.84K","-0.14%"
"02/15/2026","0.710","0.708","0.710","0.707","168.99K","0.14%"
"02/12/2026","0.709","0.709","0.710","0.706","83.54K","0.14%"
"02/11/2026","0.708","0.710","0.710","0.707","125.90K","-0.28%"
"02/10/2026","0.710","0.709","0.710","0.707","325.10K","0.28%"
"02/09/2026","0.708","0.709","0.710","0.706","275.52K","0.00%"
"02/08/2026","0.708","0.706","0.710","0.706","308.84K","0.43%"
"02/05/2026","0.705","0.705","0.706","0.701","166.72K","-0.14%"
"02/04/2026","0.706","0.705","0.707","0.701","509.15K","0.86%"
"02/03/2026","0.700","0.698","0.707","0.698","379.44K","0.29%"
"02/02/2026","0.698","0.699","0.700","0.695","83.47K","-0.29%"
"02/01/2026","0.700","0.698","0.700","0.694","110.66K","0.14%"
"01/28/2026","0.699","0.699","0.704","0.696","1.04M","0.00%"
