"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2026","228,330.94","251,885.86","255,279.88","220,405.88","","-9.33%"
"01/29/2026","251,830.25","253,589.36","262,035.44","239,335.55","","-0.69%"
"01/28/2026","253,579.59","243,430.70","253,795.02","242,395.27","","4.15%"
"01/27/2026","243,469.44","235,351.48","243,956.36","235,341.83","","3.45%"
"01/26/2026","235,341.13","234,969.33","240,798.20","234,373.53","","0.17%"
"01/23/2026","234,943.52","232,230.48","235,275.45","231,021.59","","1.16%"
"01/22/2026","232,239.31","228,991.25","232,485.86","226,163.13","","1.40%"
"01/21/2026","229,028.77","226,131.41","232,190.23","225,087.33","","1.28%"
"01/20/2026","226,139.55","221,525.19","226,263.73","220,945.94","","2.09%"
"01/19/2026","221,499.73","217,493.20","222,249.94","217,401.30","","2.04%"
"01/16/2026","217,079.63","218,086.09","218,308.84","214,334.77","","-0.45%"
"01/15/2026","218,068.41","218,876.47","219,124.64","216,661.66","","-0.40%"
"01/14/2026","218,941.59","216,074.55","219,805.47","215,991.48","","1.34%"
"01/13/2026","216,047.73","216,776.09","218,467.19","215,221.14","","-0.34%"
"01/12/2026","216,790.09","212,914.23","218,326.48","212,890.13","","1.76%"
"01/09/2026","213,032.11","211,734.44","213,356.59","210,519.91","","0.60%"
"01/08/2026","211,752.05","210,579.77","211,804.91","208,297.30","","0.55%"
"01/07/2026","210,586.70","212,364.98","212,655.52","209,217.13","","-0.85%"
"01/06/2026","212,389.28","210,487.30","212,509.02","209,497.30","","0.91%"
"01/05/2026","210,469.95","206,123.31","211,052.23","206,123.31","","1.89%"
"01/02/2026","206,564.66","206,246.30","210,000.70","205,587.27","","0.36%"
"01/01/2026","205,830.08","205,830.08","205,830.08","205,830.08","","0.00%"
"12/31/2025","205,830.08","207,023.44","208,721.84","203,936.75","","-0.57%"
"12/30/2025","207,006.05","206,538.50","210,117.39","206,093.19","","0.24%"
"12/29/2025","206,516.95","216,195.73","216,857.83","205,417.81","","-4.28%"
"12/26/2025","215,753.45","213,184.89","216,585.27","212,970.06","","1.20%"
"12/25/2025","213,185.84","212,961.88","213,365.03","212,737.88","","0.11%"
"12/24/2025","212,961.88","212,934.48","214,880.80","211,470.80","","0.04%"
"12/23/2025","212,879.95","210,902.20","213,782.72","210,554.17","","0.96%"
"12/22/2025","210,850.77","206,198.22","211,133.56","206,050.48","","2.12%"
"12/19/2025","206,480.20","205,922.70","207,332.98","204,807.28","","0.27%"
"12/18/2025","205,914.28","206,444.64","208,016.53","205,003.20","","-0.28%"
"12/17/2025","206,495.52","203,872.97","207,018.61","203,804.11","","1.26%"
"12/16/2025","203,923.06","204,239.22","205,616.41","202,562.80","","-0.16%"
"12/15/2025","204,243.59","204,257.50","206,736.31","203,247.30","","-0.14%"
"12/12/2025","204,537.06","203,334.72","206,976.09","202,406.58","","0.59%"
"12/11/2025","203,333.36","201,094.38","203,639.50","199,728.38","","1.11%"
"12/10/2025","201,097.53","200,051.84","201,611.72","198,880.97","","0.52%"
"12/09/2025","200,052.41","198,887.55","200,740.64","198,006.70","","0.56%"
"12/08/2025","198,937.09","199,249.67","200,455.36","198,281.09","","-0.37%"
"12/05/2025","199,669.41","199,992.91","202,626.61","199,331.45","","-0.16%"
"12/04/2025","199,990.52","199,844.41","200,529.58","198,586.00","","0.06%"
"12/03/2025","199,869.31","199,852.39","201,876.58","199,349.55","","0.00%"
"12/02/2025","199,871.77","201,053.14","201,307.89","197,784.42","","-0.59%"
"12/01/2025","201,059.06","201,118.95","202,788.59","200,115.11","","-0.26%"
"11/28/2025","201,589.30","198,004.28","201,631.33","197,984.05","","1.81%"
"11/27/2025","198,004.28","198,665.69","198,944.72","197,398.14","","-0.33%"
"11/26/2025","198,656.50","197,500.78","199,354.02","197,239.92","","0.58%"
"11/25/2025","197,504.13","197,393.03","198,863.09","196,446.80","","0.06%"
"11/24/2025","197,386.98","193,577.30","197,616.31","192,268.52","","2.31%"
"11/21/2025","192,926.75","193,240.91","194,610.03","190,777.31","","-0.17%"
"11/20/2025","193,247.45","193,243.72","194,780.98","191,435.59","","0.00%"
"11/19/2025","193,247.47","191,817.13","195,906.13","191,246.56","","0.74%"
"11/18/2025","191,828.55","190,274.98","192,702.77","188,185.47","","0.82%"
"11/17/2025","190,270.22","192,270.63","193,473.77","188,521.25","","-1.19%"
"11/14/2025","192,556.20","196,821.70","198,749.20","190,325.64","","-2.17%"
