"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2026","178.00","177.02","178.50","174.00","110.73K","0.55%"
"03/17/2026","177.02","179.01","181.14","176.00","74.68K","-1.05%"
"03/16/2026","178.90","181.32","183.67","178.31","52.23K","-1.17%"
"03/15/2026","181.01","184.75","186.95","181.01","35.11K","-2.02%"
"03/12/2026","184.74","186.79","188.00","183.72","44.39K","-1.11%"
"03/11/2026","186.82","185.00","187.00","184.11","37.52K","1.70%"
"03/10/2026","183.69","184.02","189.85","183.00","67.05K","0.73%"
"03/09/2026","182.35","186.03","187.29","181.11","57.82K","-1.54%"
"03/08/2026","185.20","190.00","190.95","185.08","93.26K","-2.01%"
"03/05/2026","188.99","191.10","197.01","188.00","204.24K","-0.32%"
"03/04/2026","189.60","191.00","192.99","185.03","147.78K","-0.21%"
"03/03/2026","190.00","196.11","197.00","187.01","196.02K","-3.36%"
"03/02/2026","196.61","186.13","197.00","185.50","196.71K","5.85%"
"03/01/2026","185.75","183.00","187.90","175.00","129.20K","-4.06%"
"02/26/2026","193.61","192.39","196.48","186.30","104.96K","0.39%"
"02/25/2026","192.85","202.85","204.98","190.22","161.27K","-4.99%"
"02/24/2026","202.98","197.22","202.98","194.02","212.07K","3.03%"
"02/23/2026","197.01","195.00","197.50","192.01","119.42K","1.55%"
"02/22/2026","194.00","192.05","197.44","190.12","279.81K","2.07%"
"02/19/2026","190.07","193.00","195.00","174.01","140.66K","-1.26%"
"02/18/2026","192.50","183.00","198.00","183.00","360.91K","6.42%"
"02/17/2026","180.88","177.50","181.89","176.01","139.29K","2.54%"
"02/16/2026","176.40","176.80","179.00","175.00","138.85K","1.04%"
"02/15/2026","174.59","175.00","176.94","174.04","76.64K","0.52%"
"02/12/2026","173.69","172.02","173.90","171.06","40.10K","1.56%"
"02/11/2026","171.02","177.00","177.47","171.00","82.77K","-2.72%"
"02/10/2026","175.80","179.00","179.00","175.00","117.36K","0.06%"
"02/09/2026","175.70","167.50","178.90","167.25","341.83K","5.22%"
"02/08/2026","166.99","165.12","169.40","165.00","77.44K","1.80%"
"02/05/2026","164.03","168.15","170.40","160.01","101.19K","-2.39%"
"02/04/2026","168.04","170.00","171.99","168.04","81.01K","-0.53%"
"02/03/2026","168.93","167.00","169.00","166.51","43.55K","1.64%"
"02/02/2026","166.20","166.88","167.94","166.00","47.25K","0.12%"
"02/01/2026","166.00","167.57","170.98","165.80","127.30K","-0.81%"
"01/28/2026","167.35","172.48","173.20","167.35","68.54K","-2.13%"
"01/27/2026","171.00","169.99","174.50","167.01","103.82K","1.18%"
"01/26/2026","169.00","168.22","172.60","167.00","50.42K","0.46%"
"01/25/2026","168.22","172.57","175.00","168.22","95.65K","-2.20%"
"01/22/2026","172.00","175.19","176.00","171.51","90.25K","-0.88%"
"01/21/2026","173.53","173.00","177.50","171.10","192.59K","0.33%"
"01/20/2026","172.96","175.63","176.89","171.20","110.81K","-0.60%"
"01/19/2026","174.00","175.03","181.84","173.21","209.59K","0.00%"
"01/18/2026","174.00","166.70","174.00","166.01","100.79K","5.70%"
"01/15/2026","164.61","165.50","168.49","163.02","77.86K","-0.24%"
"01/14/2026","165.00","170.99","174.00","162.03","85.93K","-4.01%"
"01/13/2026","171.90","175.10","177.60","170.00","64.04K","-1.77%"
"01/12/2026","175.00","177.00","179.40","171.61","69.25K","-0.14%"
"01/11/2026","175.24","174.05","179.80","174.00","89.78K","1.28%"
"01/08/2026","173.02","177.30","180.00","173.02","104.63K","-2.25%"
"01/06/2026","177.00","179.12","184.90","175.77","178.82K","-1.18%"
"01/05/2026","179.11","183.99","185.70","170.00","282.66K","-1.58%"
"01/04/2026","181.98","171.50","182.80","171.50","293.27K","6.43%"
"12/31/2025","170.98","159.60","170.98","159.01","297.46K","8.01%"
"12/30/2025","158.30","162.60","163.60","158.10","136.60K","-1.87%"
"12/29/2025","161.32","157.01","167.00","157.01","326.66K","3.37%"
"12/28/2025","156.06","145.00","156.06","143.50","538.05K","9.13%"
"12/25/2025","143.00","144.30","145.00","141.02","117.80K","-0.59%"
"12/24/2025","143.85","142.80","146.80","141.83","154.93K","1.47%"
"12/23/2025","141.77","136.20","143.35","135.22","262.86K","4.81%"
"12/22/2025","135.26","129.68","138.00","129.30","217.79K","4.60%"
"12/21/2025","129.31","130.10","134.00","129.30","75.98K","-0.39%"
"12/18/2025","129.81","134.38","135.64","129.52","123.19K","-2.40%"
"12/17/2025","133.00","126.01","136.90","125.50","275.28K","6.18%"
"12/16/2025","125.26","127.02","131.00","125.10","136.28K","-1.29%"
"12/15/2025","126.90","131.10","132.00","126.75","118.69K","-2.97%"
"12/14/2025","130.79","132.50","134.00","130.02","47.27K","-0.68%"
"12/11/2025","131.68","133.68","135.98","131.51","79.20K","-0.48%"
"12/10/2025","132.32","135.99","136.90","131.01","134.07K","-1.62%"
"12/09/2025","134.50","134.00","135.90","132.55","78.82K","1.48%"
"12/08/2025","132.54","133.03","136.90","132.52","67.84K","0.23%"
"12/07/2025","132.24","137.00","137.48","132.04","66.64K","-3.44%"
"12/04/2025","136.95","138.99","140.00","136.25","54.53K","-0.15%"
"12/03/2025","137.15","131.20","142.49","131.20","303.94K","4.69%"
"12/02/2025","131.01","136.57","138.50","129.00","166.03K","-3.82%"
"12/01/2025","136.21","138.00","139.45","136.13","76.31K","-1.15%"
"11/30/2025","137.80","141.20","142.98","136.00","106.36K","-1.98%"
"11/27/2025","140.59","136.00","146.00","135.30","235.63K","3.94%"
"11/26/2025","135.26","146.00","147.88","133.35","139.42K","-7.58%"
"11/25/2025","146.36","148.76","154.00","146.30","105.38K","-1.11%"
"11/24/2025","148.00","149.50","150.00","145.12","118.49K","-0.18%"
"11/23/2025","148.27","145.00","154.99","144.22","314.00K","2.25%"
"11/20/2025","145.01","137.00","149.00","136.31","508.59K","6.81%"
"11/19/2025","135.76","129.96","136.99","126.80","334.98K","6.06%"
"11/18/2025","128.00","133.31","134.88","126.60","274.30K","-3.77%"
"11/17/2025","133.01","130.50","138.00","130.02","492.82K","2.82%"
"11/16/2025","129.36","133.00","137.80","125.10","302.38K","-2.37%"
"11/13/2025","132.50","124.03","139.80","122.11","1.78M","11.06%"
"11/12/2025","119.30","101.75","121.75","101.00","2.24M","17.43%"
"11/11/2025","101.59","96.79","101.79","95.50","381.75K","5.82%"
"11/10/2025","96.00","97.00","97.68","95.60","191.72K","-0.10%"
"11/09/2025","96.10","94.20","98.40","93.11","259.30K","2.09%"
"11/06/2025","94.13","97.00","98.90","92.90","146.66K","-2.51%"
"11/05/2025","96.55","95.61","99.25","95.01","294.66K","0.99%"
"11/04/2025","95.60","94.98","96.79","93.62","180.30K","2.25%"
"11/03/2025","93.50","91.44","93.50","91.00","137.70K","2.70%"
"11/02/2025","91.04","93.51","94.45","91.00","141.22K","-2.64%"
"10/30/2025","93.51","93.57","94.00","92.01","82.30K","-0.06%"
"10/29/2025","93.57","93.94","96.00","93.05","195.03K","0.44%"
"10/28/2025","93.16","93.39","93.55","91.51","170.16K","0.69%"
"10/27/2025","92.52","96.00","96.87","92.01","242.39K","-2.10%"
"10/26/2025","94.50","93.11","97.00","91.00","637.77K","2.07%"
"10/23/2025","92.58","86.50","94.35","86.35","998.92K","7.65%"
"10/22/2025","86.00","84.10","87.75","84.00","496.18K","2.28%"
"10/21/2025","84.08","84.70","85.00","83.80","287.27K","-0.02%"
"10/20/2025","84.10","81.97","85.00","81.81","360.23K","2.80%"
"10/19/2025","81.81","82.90","84.30","81.80","194.80K","-0.84%"
"10/16/2025","82.50","84.95","85.40","82.00","218.76K","-1.79%"
"10/15/2025","84.00","81.82","84.50","81.60","379.85K","2.66%"
"10/14/2025","81.82","83.22","86.66","81.51","305.27K","-0.28%"
"10/13/2025","82.05","87.97","88.00","81.83","496.79K","-6.74%"
"10/12/2025","87.98","77.00","88.50","75.56","1.16M","17.75%"
"10/08/2025","74.72","73.80","76.00","73.06","139.77K","1.63%"
"10/07/2025","73.52","74.29","74.29","73.01","56.88K","-0.39%"
"10/06/2025","73.81","75.21","76.00","73.81","104.38K","-0.93%"
"10/05/2025","74.50","72.80","78.50","72.01","291.70K","3.73%"
"10/02/2025","71.82","72.50","73.10","71.61","24.07K","0.32%"
"10/01/2025","71.59","73.00","73.92","71.52","70.08K","-1.53%"
