ISIN,Reuters Code,Company Name,Weight (%),DataSet Start year
EGS60121C018,COMI.CA,Commercial International Bank-Egypt (CIB),32.2,2010
EGS691S1C011,TMGH.CA,T M G Holding,10.32,2010
EGS37091C013,EAST.CA,Eastern Company,7.6,2010
EGS745L1C014,FWRY.CA,Fawry For Banking Technology And Electronic Payment,6.21,2019
EGS48031C016,ETEL.CA,Telecom Egypt,5.83,2010
EGS743O1C013,EFIH.CA,E-finance For Digital and Financial Investments,4.48,2021
EGS38191C010,ABUK.CA,Abou Kir Fertilizers,3.92,2010
EGS69101C011,HRHO.CA,EFG Holding,3.52,2010
EGS60111C019,ADIB.CA,Abu Dhabi Islamic Bank- Egypt,2.75,2010
EGS305I1C011,EFID.CA,Edita Food Industries S.A.E,2.21,2015
EGS69082C013,VLMR.CA,Valmore Holding,2.04,2010
EGS691G1C015,BTFH.CA,Beltone Holding,1.66,2011
EGS95001C011,ORAS.CA,Orascom Construction PLC,1.58,2015
EGS73541C012,CCAP.CA,QALA For Financial Investments,1.42,2010
EGS3E181C010,EGAL.CA,Egypt Aluminum,1.4,2010
EGS673T1C012,GBCO.CA,GB Corp,1.35,2010
EGS655L1C012,PHDC.CA,Palm Hills Development Company,1.17,2010
EGS3C391C017,MCQE.CA,Misr Cement (Qena),1.05,2010
EGS380P1C010,AMOC.CA,Alexandria Mineral Oils Company,1.03,2010
EGS512O1C012,ISPH.CA,Ibnsina Pharma,1.02,2017
EGS70321C012,ORHD.CA,Orascom Development Egypt,0.97,2015
EGS30901C010,JUFO.CA,Juhayna Food Industries,0.93,2010
EGS65591C017,HELI.CA,Heliopolis Housing,0.85,2010
EGS69081C023,VLMRA.CA,Valmore Holding-EGP,0.75,2021
EGS33041C012,ORWE.CA,Oriental Weavers,0.7,2010
EGS690C1C010,RAYA.CA,Raya Holding For Financial Investments,0.66,2010
EGS381B1C015,RMDA.CA,Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,0.66,2019
EGS673Y1C015,EMFD.CA,Emaar Misr for Development,0.64,2015
EGS693V1C014,OIH.CA,Orascom Investment Holding,0.41,2012
EGS3C0O1C016,ARCC.CA,Arabian Cement Company,0.36,2014
EGS38201C017,EGCH.CA,Egyptian Chemical Industries (Kima),0.33,2010

