"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","47.1100","46.9300","47.3850","46.8300","","0.38%"
"01/31/2026","46.9300","46.9300","46.9300","46.9300","","0.00%"
"01/30/2026","46.9300","46.9300","46.9300","46.9300","","0.21%"
"01/29/2026","46.8300","46.8300","46.9300","46.8300","","0.00%"
"01/28/2026","46.8300","47.0400","47.1150","46.8300","","-0.36%"
"01/27/2026","47.0000","47.0600","47.1225","46.9300","","0.06%"
"01/26/2026","46.9700","47.0500","47.1300","46.8700","","-0.16%"
"01/25/2026","47.0450","47.1500","47.2100","46.9950","","-0.22%"
"01/24/2026","47.1500","47.1500","47.1500","47.1500","","0.00%"
"01/23/2026","47.1500","47.1500","47.1500","47.1500","","0.21%"
"01/22/2026","47.0500","47.3600","47.5100","47.0500","","-0.72%"
"01/21/2026","47.3900","47.4900","47.5950","47.2800","","-0.17%"
"01/20/2026","47.4700","47.4000","47.5600","47.3100","","0.11%"
"01/19/2026","47.4200","47.3100","47.5563","47.2800","","0.11%"
"01/18/2026","47.3675","47.2900","47.4500","47.1900","","0.19%"
"01/17/2026","47.2800","47.2400","47.2800","47.2400","","0.08%"
"01/16/2026","47.2400","47.2400","47.2800","47.2400","","0.00%"
"01/15/2026","47.2400","47.3400","47.3700","47.1800","","-0.13%"
"01/14/2026","47.3000","47.1200","47.3713","47.0500","","0.42%"
"01/13/2026","47.1000","47.1500","47.3413","47.0300","","-0.11%"
"01/12/2026","47.1500","47.2000","47.2600","47.0500","","-0.14%"
"01/11/2026","47.2138","47.2300","47.3500","47.0900","","-0.03%"
"01/10/2026","47.2300","47.2300","47.2800","47.2300","","0.00%"
"01/09/2026","47.2300","47.2300","47.2800","47.2300","","-0.11%"
"01/08/2026","47.2800","47.2500","47.4000","47.0900","","0.06%"
"01/07/2026","47.2500","47.2500","47.3000","47.2500","","0.00%"
"01/06/2026","47.2500","47.3300","47.3900","47.1700","","-0.15%"
"01/05/2026","47.3200","47.6000","47.7200","47.2400","","-0.58%"
"01/04/2026","47.5963","47.7000","47.7500","47.5300","","-0.22%"
"01/03/2026","47.7000","47.7000","47.7000","47.7000","","0.00%"
"01/02/2026","47.7000","47.7000","47.7000","47.7000","","0.00%"
"01/01/2026","47.7000","47.7000","47.7000","47.7000","","0.00%"
"12/31/2025","47.7000","47.7100","47.7500","47.5500","","-0.04%"
"12/30/2025","47.7200","47.7000","47.8050","47.6000","","0.10%"
"12/29/2025","47.6700","47.6500","47.8180","47.5600","","0.02%"
"12/28/2025","47.6600","47.6000","47.6750","47.5050","","0.13%"
"12/27/2025","47.6000","47.6000","47.6000","47.6000","","0.00%"
"12/26/2025","47.6000","47.6000","47.6000","47.6000","","0.02%"
"12/25/2025","47.5900","47.5400","47.6300","47.4900","","0.11%"
"12/24/2025","47.5400","47.4800","47.6300","47.4300","","0.13%"
