"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2026","32.50","32.03","32.59","31.81","926.56K","1.47%"
"03/17/2026","32.03","32.50","33.28","31.70","4.40M","-1.96%"
"03/16/2026","32.67","33.75","34.09","32.51","2.57M","-3.34%"
"03/15/2026","33.80","31.80","34.40","31.80","7.14M","6.62%"
"03/12/2026","31.70","30.85","31.90","30.67","4.99M","3.93%"
"03/11/2026","30.50","30.14","30.90","30.14","1.48M","1.63%"
"03/10/2026","30.01","30.78","30.78","29.50","2.44M","-3.16%"
"03/09/2026","30.99","31.01","32.16","30.33","8.17M","1.61%"
"03/08/2026","30.50","29.50","31.00","29.50","12.48M","7.02%"
"03/05/2026","28.50","28.71","28.80","27.95","3.41M","-0.84%"
"03/04/2026","28.74","28.70","29.55","28.50","7.88M","0.49%"
"03/03/2026","28.60","26.62","28.70","26.11","7.47M","7.00%"
"03/02/2026","26.73","26.82","27.08","26.51","1.25M","-0.26%"
"03/01/2026","26.80","26.16","26.85","25.51","2.15M","-1.58%"
"02/26/2026","27.23","26.98","27.55","26.77","3.09M","1.57%"
"02/25/2026","26.81","27.65","27.75","26.67","2.37M","-2.62%"
"02/24/2026","27.53","27.71","28.09","27.26","1.96M","-0.29%"
"02/23/2026","27.61","27.50","27.90","27.30","1.97M","1.14%"
"02/22/2026","27.30","27.92","28.17","27.04","2.29M","-1.80%"
"02/19/2026","27.80","28.93","29.19","27.80","3.02M","-3.91%"
"02/18/2026","28.93","28.40","29.40","28.36","7.35M","2.12%"
"02/17/2026","28.33","27.82","28.58","27.70","7.27M","1.98%"
"02/16/2026","27.78","27.81","28.65","27.77","15.48M","0.22%"
"02/15/2026","27.72","26.87","27.80","26.85","7.00M","3.63%"
"02/12/2026","26.75","26.96","27.00","26.71","3.94M","-0.93%"
"02/11/2026","27.00","27.10","27.24","26.73","6.21M","0.00%"
"02/10/2026","27.00","26.83","27.25","26.70","10.46M","1.05%"
